country,ws_PC1
Afghanistan,-2.4829350526891285
Albania,0.2597674705320883
Algeria,-0.986481248790768
Angola,-1.2798484793237495
Argentina,1.0319781492858104
Armenia,0.5769171397803601
Australia,3.625362055944054
Austria,3.367587216610661
Azerbaijan,-0.6493866623751127
The Bahamas,0.9417157208391126
Bahrain,-1.7957167997891381
Bangladesh,-2.0587616417154972
Barbados,1.4452088788950064
Belarus,1.4637213150173305
Belgium,3.01954994883057
Belize,-0.07589463483850759
Benin,-1.8362605517830903
Bhutan,0.2597674705320883
Bolivia,0.4143560896880284
Bosnia and Herzegovina,1.9795896354827192
Botswana,-0.800137759983146
Brazil,0.22274259828744014
Brunei,-1.0358812834449111
Bulgaria,1.942564763238071
Burkina Faso,-1.5414608402050491
Myanmar,-0.7240016167896054
Burundi,-0.8310253585149648
Cambodia,0.4275985232173863
Cameroon,-2.3151040000038305
Canada,3.01954994883057
Cabo Verde,2.427545485171641
Central African Republic,-1.7416119724672254
Chad,-2.6507661053744265
Chile,1.0504905854081346
China,0.5531347010650699
Colombia,-0.42393190261859826
Comoros,-0.7948677573901799
Republic of the Congo,-1.2566312505336557
Costa Rica,1.3676402546564062
Ivory Coast,-0.963264020000674
Croatia,2.1289082520456932
Cuba,1.2588653900873843
Cyprus,2.2412019963640186
Czechia,2.3496582191344375
Democratic Republic of the Congo,-2.2436726494780594
Denmark,3.612986893534559
Djibouti,-1.9450354163521117
Dominican Republic,-0.5185804819344629
East Timor,-1.2613360432014258
Ecuador,0.8702843703133417
Egypt,-1.4838371331338327
El Salvador,-0.2931257221779485
Equatorial Guinea,-1.5005984464124944
Eritrea,-1.926522980229788
Estonia,2.6668078883827095
Ethiopia,-1.4476795320090474
Fiji,-0.37453186796445526
Finland,3.187381001515868
France,3.5116358305806683
Gabon,-1.1296625916409126
Gambia,-2.1657853834408565
Georgia,0.4275985232173863
Germany,3.01954994883057
Ghana,-1.817748115660766
Greece,2.6262641363887576
Guatemala,-0.9988564112002628
Guinea,-2.4829350526891285
Guinea-Bissau,-1.2922236417332442
Guyana,-0.2746132860556244
Haiti,-1.3107360778555683
Honduras,-0.42393190261859826
Hungary,2.427545485171641
Iceland,2.5768641017346146
India,-2.4115037021633574
Indonesia,-1.2851184819167156
Iran,-3.0049406468673463
Iraq,-2.8371095941820483
Ireland,2.702400279582298
Israel,-0.4115567402091035
Italy,2.5160567907746763
Jamaica,1.2588653900873843
Japan,1.6847899239046782
Jordan,-2.208080258278471
Kazakhstan,-0.18435085760892647
Kenya,-2.8185971580597244
Kosovo,0.49375987115019093
Kuwait,-1.963547852474436
Kyrgyzstan,-0.2966446019272521
Laos,-0.3521819102942244
Latvia,2.091883379801045
Lebanon,-0.9679688126684439
Lesotho,-1.9279554612748475
Liberia,-1.7639619301374563
Libya,-1.154312301476066
Lithuania,2.060995781269226
Luxembourg,3.3860996527329847
Macedonia,1.9795896354827192
Madagascar,0.29535986173167716
Malawi,-1.9080105441074637
Malaysia,-0.8371626322277943
Maldives,-0.3027818756400814
Mali,-2.184297819563181
Malta,1.774733710552773
Mauritania,-2.226592694400795
Mauritius,1.0134657131634865
Mexico,-0.5494680804662817
Moldova,1.8302710189197453
Mongolia,1.1518416483620246
Montenegro,1.9795896354827192
Morocco,-1.7824743662597804
Mozambique,-0.7816253238608218
Namibia,-0.33893947676486647
Nepal,-1.0749925543938035
Netherlands,3.612986893534559
New Zealand,2.534569226897
Nicaragua,0.07342398172446628
Niger,-2.6692785414967504
Nigeria,-2.8000847219374
North Korea,-0.16758954433026496
Norway,4.128855213999947
Oman,-1.353030952693183
Pakistan,-3.0049406468673463
West Bank and Gaza,-1.185199900007885
Panama,0.8517719341910176
Papua New Guinea,-1.926522980229788
Paraguay,1.0248729894692816
Peru,0.20509743328497923
Philippines,0.5769171397803601
Poland,2.870231332267596
Portugal,3.5539307054182827
Qatar,-1.6516681858191307
Romania,2.1289082520456932
Russia,0.44435983649604793
Rwanda,-0.32042704064254235
Saudi Arabia,-3.135746827307996
Senegal,-2.1657853834408565
Republic of Serbia,1.9795896354827192
Sierra Leone,-1.2428236070791014
Singapore,0.49759739269809755
Slovakia,2.703832760627358
Slovenia,2.259714432486343
Solomon Islands,-1.4230298221738942
Somalia,-2.0758415967927615
South Africa,-0.7410815718668701
South Korea,-0.1490771082079408
South Sudan,-2.8185971580597244
Spain,3.6794668832659663
Sri Lanka,-1.017368847322587
Sudan,-3.4714089326785924
Suriname,0.38530364837977193
eSwatini,-1.6278857471038402
Sweden,3.612986893534559
Switzerland,3.6438744920663777
Syria,-2.131378905159734
Taiwan,1.756221274430449
Tajikistan,-1.5009170882110972
United Republic of Tanzania,-2.2251602133557356
Thailand,0.6078047383121791
Togo,-2.2028102556855047
Trinidad and Tobago,0.20423016216511602
Tunisia,0.27652878381074997
Turkey,-0.5238504845274291
Turkmenistan,-0.03886976259385935
Uganda,-1.8362605517830903
Ukraine,1.2464902276778895
United Arab Emirates,-1.6331557496968063
United Kingdom,2.702400279582298
United States of America,1.533720184498042
Uruguay,1.4452088788950064
Uzbekistan,-0.5238504845274291
Vanuatu,0.24652503700273046
Venezuela,0.22274259828744014
Vietnam,0.2544974679391222
Yemen,-2.967915774622698
Zambia,-0.9309439404237957
Zimbabwe,-1.6146433135744827
